Date of Sale (dd/mm/yyyy),Address,Street Name,Price
13/11/2015,"4 Steeplegate, Tritonville Road, Sandymount",tritonville road,"€375,000.00"
13/11/2015,"86 GRANGE PARK VIEW, RAHENY, DUBLIN 5",park view,"€272,500.00"
16/11/2015,"19 DOWLAND RD, WALKINSTOWN, DUBLIN 12",dowland,"€152,500.00"
16/11/2015,"21 RAFTERS RD, DUBLIN 12, DUBLIN",rafters road,"€176,000.00"
16/11/2015,"22 TONLEGEE RD, COOLOCK, DUBLIN",tonlegee road,"€275,000.00"
16/11/2015,"59 CARLETON RD, FAIRVIEW, DUBLIN 3",carleton road,"€425,000.00"
17/11/2015,"119 Temple Gardens, Santry",temple gardens,"€208,000.00"
17/11/2015,"16 Church Avenue, Church Street",church street,"€205,000.00"
17/11/2015,"2 ELM MOUNT CLOSE, BEAUMONT, DUBLIN 9",elm mount close,"€330,000.00"
18/11/2015,"43 HYDE SQ, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€192,000.00"
18/11/2015,"60 TRITONVILLE RD, SANDYMOUNT, DUBLIN 4",tritonville road,"€1,200,000.00"
18/11/2015,"9 MCGOVERNS CORNER CORK ST DUBLIN 8, DUBLIN 8, DUBLIN",cork street,"€76,255.86"
18/11/2015,"APT 89, 109 PARNELL ST, DUBLIN 1",parnell street,"€170,000.00"
19/11/2015,"169 NUTGROVE AVE, RATHFARNHAM, DUBLIN 14",grove avenue,"€278,000.00"
19/11/2015,"21 DONORE RD, SOUTH CIRCULAR RD, DUBLIN 8",donore road,"€216,666.00"
19/11/2015,"39 Harrington Street, Dublin 8",harrington street,"€480,000.00"
19/11/2015,"4 Harrington Street, Dublin 8",harrington street,"€1,100,000.00"
19/11/2015,"441 SOUTH CIRCULAR RD, DUBLIN 8, DUBLIN",south circular road,"€280,000.00"
19/11/2015,"46 RATHDOWN DR, TERENURE, DUBLIN 6",rathdow,"€1,180,000.00"
19/11/2015,"69 Coolatree Road, Beaumont",coolatr,"€380,000.00"
19/11/2015,"74 Packenham House, Spencer Dock, North Wall Quay",north wall,"€260,000.00"
19/11/2015,"88 Leinster Road, Rathmines, Dublin 6",leinster road,"€799,000.00"
20/11/2015,"26 THE PARK, GRANGE MANOR, LUCAN",the park,"€315,000.00"
20/11/2015,"29 TEMPLE HALL, PARNELL ST, DUBLIN 1",parnell street,"€180,000.00"
20/11/2015,"42 ST CATHRYNS COURT, NEWGROVE AVE, SANDYMOUNT DUBLIN 4",grove avenue,"€790,000.00"
20/11/2015,"6 GROVE AVE, HAROLDS CROSS, DUBLIN 6",grove avenue,"€425,000.00"
23/11/2015,"47 Mount Prospect Avenue, Clontarf",mount prospect avenue,"€978,000.00"
24/11/2015,"30 SEVEN OAKS, DRUMCONDRA, DUBLIN 9",seven oaks,"€430,000.00"
24/11/2015,"6 O'Carolan Road, The Tenters",ocarolan road,"€193,598.00"
24/11/2015,"61 ENNAFORT RD, RAHENY, DUBLIN 5",ennafort road,"€420,000.00"
25/11/2015,"188 BACHELORS WALK, DUBLIN 1, DUBLIN",bachelors walk,"€95,922.87"
25/11/2015,"298 BACHELORS WALK, DUBLIN 1",bachelors walk,"€155,000.00"
25/11/2015,"30 GLEN DR, THE PARK, CABINTEELY DUBLIN 18",the park,"€450,000.00"
25/11/2015,"97 SEVEN OAKS SARSFIELD RD, DUBLIN 10, DUBLIN",seven oaks,"€87,278.26"
26/11/2015,"245 Carnlough Road, Cabra, Dublin 7",carnlough road,"€225,000.00"
26/11/2015,"271 LANDEN RD, BALLYFERMOT, DUBLIN 10",landen road,"€156,000.00"
26/11/2015,"8 GREENWOOD AVE, BLUNDEN DR, MALAHIDE RD DUBLIN 13",malahide road,"€285,000.00"
26/11/2015,"APT 2D  GRIFFITH LAWNS, GRIFFITH AVENUE, DRUMCONDRA",griffith avenue,"€270,000.00"
27/11/2015,"105 GREENWOOD AVE, BLUNDEN DR MALAHIDE RD, DUBLIN 13",malahide road,"€295,000.00"
27/11/2015,"119A Mount Prospect Avenue, Clontarf",mount prospect avenue,"€652,000.00"
27/11/2015,"17 BELTON PARK GARDENS, DONNYCARNEY, DUBLIN 9",belton park gardens,"€295,000.00"
27/11/2015,"26 BURNELL COURT NORTHERN CROSS, CITY JUNCTION, MALAHIDE RD DUBLIN 17",malahide road,"€151,000.00"
27/11/2015,"30 BROOKFIELD, KIMMAGE RD WEST, DUBLIN 12",brookfield,"€380,000.00"
27/11/2015,"36 CRANMER LANE, CRAMNER PLACE, HADDINGTON ROAD",haddington road,"€472,500.00"
27/11/2015,"88 ASHINGTON RISE, NAVAN RD, DUBLIN 7",ashington rise,"€295,000.00"
27/11/2015,"96 Tritonville Road, Sandymount, Dublin 4",tritonville road,"€1,025,000.00"
27/11/2015,"Apt 21, Valentia House, North Circular Road",north circular road,"€172,000.00"
30/11/2015,"102 THE WATERSIDE, CHARLOTTE QUAY, RINGSEND RD DUBLIN 4",ringsend road,"€215,000.00"
30/11/2015,"131 INCHICORE RD, INCHICORE, DUBLIN 8",inchicore road,"€250,000.00"
30/11/2015,"316 COLLINSWOOD, COLLINS AVE, DUBLIN 9",collinswood,"€310,000.00"
30/11/2015,"343 KILBARRACK RD, DUBLIN 5, DUBLIN",kilbarrack road,"€231,000.00"
30/11/2015,"62 OLD FINGLAS RD, GLASNEVIN, DUBLIN 11",finglas road,"€325,000.00"
30/11/2015,"68 BARLEYHOUSE, CORK STREET, DUBLIN 8",cork street,"€190,000.00"
01/12/2015,"11 GOLDSTONE COURT, CLOGHER RD, DUBLIN 12",clogher road,"€188,500.00"
01/12/2015,"2 WESTPARK, RATHCOOLE, DUBLIN",westpark,"€273,000.00"
01/12/2015,"22 THE BELFRY, KILBARRACK RD, KILBARRACK DUBLIN 13",kilbarrack road,"€270,000.00"
01/12/2015,"235 NUTGROVE AVE, CHURCHTOWN, DUBLIN 14",grove avenue,"€450,000.00"
01/12/2015,"7 KINGS COURT, PARNELL STREET, DUBLIN 1",parnell street,"€148,750.00"
02/12/2015,"64 ST PATRICKS PARK, STEPASIDE, SANDYFORD DUBLIN 18",st patricks park,"€355,000.00"
02/12/2015,"9 THE MOORINGS, PORTOBELLO HARBOUR, DUBLIN 8",portobello harbour,"€400,000.00"
03/12/2015,"12 CHURCH ST, HOWTH, DUBLIN 13",church street,"€475,000.00"
03/12/2015,"12 ERRIGAL HOUSE, EGLINGTON COURT, DONNYBROOK",egling,"€250,000.00"
03/12/2015,"167 CRUMLIN RD, CRUMLIN, DUBLIN 12",crumlin road,"€250,000.00"
03/12/2015,"21 CROSBIE HOUSE, NORTHBROOK AVE, DUBLIN 6",northbrook avenue,"€222,000.00"
03/12/2015,"65 CALEDON RD, EAST WALL, DUBLIN 3",caledon road,"€225,000.00"
03/12/2015,"92 VENTRY PARK, CABRA WEST, DUBLIN 7",ventry park,"€185,000.00"
04/12/2015,"1 forgney grove avenue, blackrock",grove avenue,"€1,621,230.00"
04/12/2015,"1 SOUTHFIELD, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€282,000.00"
04/12/2015,"102 St Werburghs, Malahide Road, Swords",malahide road,"€160,000.00"
04/12/2015,"113 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€190,000.00"
04/12/2015,"24 ERNE TERRACE, PEARCE ST, DUBLIN 2",pearce street,"€242,000.00"
04/12/2015,"3 PRIESTFIELD DRIVE, SOUTH CIRCULAR ROAD, DUBLIN 8",south circular road,"€330,000.00"
04/12/2015,"344 ORWELL PARK CLOSE, TEMPLEOGUE, DUBLIN 6W",orwell park,"€585,000.00"
04/12/2015,"35 Brookwood Road, Artane, Dublin 5",brookwood road,"€385,000.00"
04/12/2015,"52 NORTHBROOK AVE, RANELAGH, DUBLIN 6",northbrook avenue,"€540,000.00"
04/12/2015,"61 SHELBOURNE VILLAGE, RINGSEND RD, RINGSEND DUBLIN 4",ringsend road,"€303,000.00"
04/12/2015,"7 SPENCER STREET SOUTH, SOUTH CIRCULAR ROAD, PORTOBELLO",south circular road,"€369,000.00"
04/12/2015,"Apartment 240, Bachelor's Walk, Dublin 1",bachelors walk,"€175,000.00"
07/12/2015,"593 CARNLOUGH ROAD, CABRA WEST, DUBLIN 7",carnlough road,"€170,000.00"
07/12/2015,"90 SEVEN OAKS APARTMENTS, SARSFIELD ROAD, BALLYFERMOT",seven oaks,"€86,690.69"
07/12/2015,"Apartment 61, Corn Exchange, Burgh Quay",burgh quay,"€295,000.00"
07/12/2015,"APT 3, NEWMARKET SQUAARE, WARDS HILL DUBLIN 8",newmarket,"€199,000.00"
07/12/2015,"APT 68, PIER 19, USHERS ISLAND DUBLIN 8",ushers island,"€186,000.00"
08/12/2015,"12 CANNON MEWS EAST, BEGGARS BUSH, HADDINGTON RD DUBLIN 4",haddington road,"€377,000.00"
08/12/2015,"121 FASSAUGH AVE, CABRA, DUBLIN 7",fassaugh avenue,"€190,000.00"
08/12/2015,"136 SEVEN OAKS, SARSFIELD RD, DUBLIN 10",seven oaks,"€84,199.09"
08/12/2015,"16 WATERSIDE, CHARLOTTE QUAY, RINGSEND RD DUBLIN 4",ringsend road,"€158,000.00"
08/12/2015,"250 Clogher Road, Crumlin",clogher road,"€16,000.00"
08/12/2015,"59 BALTRASNA HOUSE, SPENCER DOCK, NORTH WALL QUAY",north wall,"€255,000.00"
08/12/2015,"6 Parkside Boulevard, Malahide Road, Balgriffin",malahide road,"€341,403.08"
09/12/2015,"121 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€195,000.00"
09/12/2015,"4 Parkside Boulevard, Parkside, Malahide Road",malahide road,"€341,403.00"
09/12/2015,"4 TEMPLEVIEW CLOSE, OFF MALAHIDE ROAD, CLARE HALL",malahide road,"€245,000.00"
09/12/2015,"44 SEVEN OAKS, SARSFIELD RD, DUBLIN 10",seven oaks,"€150,000.00"
09/12/2015,"53 THE FAIRWAYS, SEABROOK MANOR, STATION RD",manor street,"€245,000.00"
09/12/2015,"AYLESBURY, ADELAIDE ROAD, GLENAGEARY",adelaide road,"€3,100,000.00"
09/12/2015,"FIRST FLOOR, UNIT 105A CABRA ROAD, DUBLIN 7",cabra road,"€135,000.00"
10/12/2015,"107 BUSHY PARK HOUSE, TERENURE, DUBLIN 6W",bushy park,"€385,000.00"
10/12/2015,"344 CHARLEMONT, GRIFFITH AVE, DUBLIN 9",charlemont,"€490,000.00"
10/12/2015,"37 WATERSIDE VIEW, WARERSIDE, MALAHIDE RD",malahide road,"€180,000.00"
10/12/2015,"Apt 407 Phoenix View, James Street, Dublin 8",james street,"€150,000.00"
11/12/2015,"10 Winton Avenue, Rathgar, Dublin 6",winton avenue,"€1,625,000.00"
11/12/2015,"117-119 RANELAGH ROAD, DUBLIN 6",ranelagh road,"€400,000.00"
11/12/2015,"366 Collinswood, Whitehall",collinswood,"€325,000.00"
11/12/2015,"47 ST TERESAS RD, CRUMLIN, DUBLIN 12",st teresas road,"€330,000.00"
11/12/2015,"619 SOUTH CIRCULAR RD, KILMAINHAM, DUBLIN 8",south circular road,"€405,000.00"
14/12/2015,"27 THE CEDAR, PARK VIEW, STEPASIDE DUBLIN 18",park view,"€227,500.00"
14/12/2015,"53 GREENVILLE TERRACE, CIRCULAR RD SOUTH, DUBLIN 8",greenville terrace,"€522,500.00"
14/12/2015,"582 SOUTH CIRCULAR RD, KILMAINHAM, DUBLIN",south circular road,"€510,000.00"
14/12/2015,"7 ST AUDOENS TERRACE, OFF HIGH ST, DUBLIN 8",high street,"€255,000.00"
15/12/2015,"125 JAMES ST, DUBLIN 8",james street,"€37,500.00"
15/12/2015,"334 COLLINSWOOD, WHITEHALL, DUBLIN 9",collinswood,"€160,000.00"
15/12/2015,"9 Kirwan Street, Stoneybatter, Dublin 7",kirwan street,"€297,000.00"
15/12/2015,"APARTMENT 177, SEVEN OAKS, SARSFIELD RD",seven oaks,"€33,995.11"
16/12/2015,"10 Brookfield Terrace, Blackrock",brookfield,"€375,000.00"
16/12/2015,"12 Parkside Avenue, Malahide Road",malahide road,"€288,539.00"
16/12/2015,"16 MILESIAN GROVE, OLD MALAHIDE RD, KINSEALY",malahide road,"€360,000.00"
16/12/2015,"18 LINDEN PLACE, GROVE AVE, BLACKROCK",grove avenue,"€620,000.00"
17/12/2015,"12 Parkside Mews, Malahide Road, Balgriffin",malahide road,"€332,593.00"
17/12/2015,"120 Seapark, Mount Prospect Avenue, Clontarf",mount prospect avenue,"€143,333.00"
17/12/2015,"14 ALL HALLOWS SQ, GRIFFITH AVE, DRUMCONDRA DUBLIN 9",griffith avenue,"€410,000.00"
17/12/2015,"17 PORTOBELLO HARBOUR, GROVE RD, DUBLIN 6",grove road,"€345,000.00"
17/12/2015,"27 GROSVENOR COURT, TEMPLEOGUE, DUBLIN 6W",grosvenor court,"€605,000.00"
17/12/2015,"28 BARRY ROAD, FINGLAS WEST, DUBLIN 11",barry road,"€140,000.00"
17/12/2015,"4 ASHFORD, GRIFFITH AVE, GLASNEVIN DUBLIN 11",griffith avenue,"€172,500.00"
17/12/2015,"40 MALAHIDE ROAD, ARTANE, DUBLIN 5",malahide road,"€295,000.00"
17/12/2015,"46 MEADOWBANK, RATHGAR, DUBLIN 6",meadowbank,"€495,000.00"
17/12/2015,"6 PHOENIX COURT, PALATINE SQ, ARBOUR HILL DUBLIN 7",arbour hill,"€289,000.00"
17/12/2015,"8 Parkside Mews, Parkside, Malahide Road",malahide road,"€336,997.00"
17/12/2015,"8 ST ALBANS RD, DUBLIN 8, DUBLIN",st albans road,"€438,000.00"
18/12/2015,"1 Parkside Avenue, Parkside, Malahide Road",malahide road,"€308,370.03"
18/12/2015,"16 KINAHAN ST, INFIRMARY RD, DUBLIN 7",infirmary road,"€212,500.00"
18/12/2015,"21 PARKSIDE AVENUE, PARKSIDE, MALAHIDE ROAD",malahide road,"€303,964.00"
18/12/2015,"23 CRANMER PLACE, HADDINGTON RD, BALLSBRIDGE DUBLIN 4",haddington road,"€500,000.00"
18/12/2015,"4 ST ALBANS RD, CIRCULAR RD SOUTH, DUBLIN 8",st albans road,"€510,000.00"
18/12/2015,"447 MOURNE RD, DRIMNAGH, DUBLIN 12",mourne road,"€194,000.00"
18/12/2015,"53 PROSPECT AVE, PROSPECT MANOR, RATHFARNHAM DUBLIN 16",prospect avenue,"€400,000.00"
18/12/2015,"81 THOMAS MOORE RD, WALKINSTOWN, DUBLIN 12",thomas moore road,"€261,000.00"
21/12/2015,"119 FINGLAS PK, DUBLIN 11, DUBLIN",finglas park,"€237,500.00"
21/12/2015,"2 Briarfield, Kilbarrack Road, Kilbarrack",kilbarrack road,"€423,850.00"
21/12/2015,"3 ROTHE ABBEY, SOUTH CIRCULAR RD, DUBLIN 8",rothe abbey,"€280,000.00"
21/12/2015,"3 ST MARGARETS AVENUE, MALAHIDE, CO. DUBLIN",st margarets avenue,"€440,000.00"
21/12/2015,"336 ORWELL PARK AVENUE, TEMPLEOGUE, DUBLIN 6W",orwell park,"€575,000.00"
21/12/2015,"371 BACHELORS WALK, DUBLIN 1, DUBLIN",bachelors walk,"€215,000.00"
21/12/2015,"56 ALBERT COLLEGE PARK, GLASNEVIN, DUBLIN 9",albert college,"€326,500.00"
21/12/2015,"64 Malahide Road, Clontarf",malahide road,"€182,000.00"
21/12/2015,"69 SOUTHGATE, CORK ST, DUBLIN 8",cork street,"€205,000.00"
21/12/2015,"79 Ventry Park, Cabra West",ventry park,"€200,000.00"
21/12/2015,"APT 2, HOUSE 1 LINDEN SQ, GROVE AVE",grove avenue,"€300,000.00"
22/12/2015,"1 CHELTENHAM PLACE, CANAL RD, RATHMINES DUBLIN 6",canal road,"€550,000.00"
22/12/2015,"125 James Street, Dublin 8",james street,"€100,000.00"
22/12/2015,"142 RAFTERS RD, DRIMNAGH, DUBLIN 12",rafters road,"€196,000.00"
22/12/2015,"15 SUSAN TERRACE, SOUTH CIRCULAR ROAD, DUBLIN 8",south circular road,"€225,000.00"
22/12/2015,"16A GROVE PARK RD, GLASNEVIN, DUBLIN 11",grove park road,"€315,000.00"
22/12/2015,"17 Vincent Street South, South Circular Road, Dublin 8",south circular road,"€237,000.00"
22/12/2015,"25 THE PARK BARRONS HALL, FLEMINGTON, BALBRIGGAN",the park,"€133,000.00"
22/12/2015,"3 Millbrook Court, Mount Brown",mount brown,"€152,500.00"
22/12/2015,"395 MOURNE RD, DUBLIN 12, DUBLIN",mourne road,"€205,000.00"
22/12/2015,"92 NEWMARKET SQ, MILL ST, DUBLIN 8",newmarket,"€168,000.00"
22/12/2015,"Apartment 82, Hybreasal House, South Circular Road",south circular road,"€235,000.00"
22/12/2015,"APT 1 60 THOMAS STREET, DUBLIN 8",thomas street,"€126,250.00"
22/12/2015,"APT 2 60 THOMAS STREET, DUBLIN 8",thomas street,"€126,250.00"
23/12/2015,"11 GROVE HOUSE, 36 GROVE RD, RATHMINES DUBLIN 6",grove road,"€335,000.00"
23/12/2015,"15 CRUAGH COURT, CRUAGH MANOR, STEPASIDE DUBLIN 18",manor street,"€250,000.00"
23/12/2015,"29 HAMMOND STREET, BLACKPITS, DUBLIN 8",hammond street,"€243,050.00"
23/12/2015,"40 NEWMARKET SQ, WARDS HILL, DUBLIN 8",newmarket,"€135,500.00"
23/12/2015,"44 SEVEN OAKS, SARSFIELD RD, DUBLIN 10",seven oaks,"€71,544.56"
23/12/2015,"5 Arklow Street, North Circular Road",north circular road,"€241,000.00"
23/12/2015,"89 BURNELL SQ, NORTHERN CROSS, MALAHIDE RD DUBLIN 17",malahide road,"€225,000.00"
23/12/2015,"APARTMENT 26, BASEMENT UNIT, 18 LOWER BAGGOT STREET",baggot street,"€135,000.00"
23/12/2015,"APT 79, IVY EXCHANGE, PARNELL ST DUBLIN 1",parnell street,"€330,000.00"
30/12/2015,"2 CRANMER PLACE, HADDINGTON RD, DUBLIN 4",haddington road,"€240,000.00"
04/01/2016,"28 BELTON PARK GARDENS, DONNYCARNEY, DUBLIN",belton park gardens,"€310,000.00"
05/01/2016,"1 VILLAREA PARK, ADELAIDE RD, GLENAGEARY",adelaide road,"€600,000.00"
05/01/2016,"10 CARNLOUGH ROAD, CABRA WEST, DUBLIN 7",carnlough road,"€107,500.00"
05/01/2016,"29 GREENVIEW, SEABROOK MANOR, STATION RD",manor street,"€94,042.00"
05/01/2016,"75 HYDE SQ, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€265,000.00"
06/01/2016,"5 NICHOLAS AVENUE, CHURCH STREET, DUBLIN 7",church street,"€225,000.00"
06/01/2016,"51 COOLATREE RD, BEAUMONT, DUBLIN 9",coolatr,"€350,000.00"
07/01/2016,"17 Parkside Avenue, Parkside, Malahide Road",malahide road,"€288,539.64"
07/01/2016,"43 SOUTH CIRCULAR ROAD, DUBLIN 8, DUBLIN",south circular road,"€920,000.00"
07/01/2016,"Apt 54, 109 Parnell Street",parnell street,"€155,000.00"
08/01/2016,"172 CHARLOTTE QUAY DOCK, RINGSEND RD DUBLIN 4, DUBLIN",ringsend road,"€360,000.00"
08/01/2016,"22 CRUMLIN RD, APT, DUBLIN 12",crumlin road,"€80,000.00"
08/01/2016,"3 BROOKFIELD, MOUNT MERRION AVE, BLACKROCK",brookfield,"€875,000.00"
08/01/2016,"3 Glen Lawn Drive, The Park, Cabinteely",the park,"€550,000.00"
08/01/2016,"385 NORTH CIRCULAR RD, PHIBSBOROUGH, DUBLIN 7",north circular road,"€335,000.00"
12/01/2016,"103A MALAHIDE RD, DONNYCARNEY, DUBLIN 3",malahide road,"€96,000.00"
13/01/2016,"26 TEMPLE HALL, PARNELL ST, DUBLIN 1",parnell street,"€165,000.00"
14/01/2016,"3 Parkside Boulevard  Parkside, Malahide Road, Dublin",malahide road,"€341,403.00"
14/01/2016,"31A CYPRESS GROVE RD, TEMPLEOGUE, DUBLIN 6W",grove road,"€480,000.00"
14/01/2016,"60 ST JAMESS COURT, MOUNT BROWN, KILMAINHAM DUBLIN 8",mount brown,"€203,000.00"
14/01/2016,"87 THE STILES RD, CLONTARF, DUBLIN 3",the stiles road,"€910,000.00"
15/01/2016,"101 RAFTERS RD, DRIMNAGH, DUBLIN 12",rafters road,"€232,000.00"
15/01/2016,"13 HARCOURT LODGE, SOUTHERN CROSS AVE, INCHICORE DUBLIN 8",harcourt lodge,"€270,000.00"
15/01/2016,"136 LEINSTER RD, RATHMINES, DUBLIN 6",leinster road,"€1,500,000.00"
15/01/2016,"136 Mourne Road, Drimnagh",mourne road,"€208,000.00"
15/01/2016,"213 BUNTING RD, WALKINSTOWN, DUBLIN 12",bunting road,"€270,000.00"
15/01/2016,"22 PHILIPSBURGH AVENUE, FAIRVIEW, DUBLIN 3",philipsburgh avenue,"€268,000.00"
15/01/2016,"24 MANOR ST, DUBLIN 7, DUBLIN",manor street,"€380,000.00"
15/01/2016,"6 HIGHLAND LAWN, THE PARK, CABINTEELY DUBLIN 18",the park,"€465,000.00"
15/01/2016,"622 South Circular Road, Kilmainham, Dublin 8",south circular road,"€510,000.00"
18/01/2016,"1 Portobello Dock, Portobello Harbour, Dublin 8",portobello harbour,"€355,000.00"
18/01/2016,"153 OLD FINGLAS RD, GLASNEVIN, DUBLIN",finglas road,"€468,000.00"
18/01/2016,"31 GRAND CANAL WHARF, RINGSEND RD, DUBLIN 4",ringsend road,"€377,000.00"
18/01/2016,"7 MAXWELL ST, DOLPHINS BARN, DUBLIN 8",dolphins barn,"€140,000.00"
19/01/2016,"65 VIKING HARBOUR APTS, USHERS ISLAND, DUBLIN 8",ushers island,"€138,000.00"
19/01/2016,"9 EARL COURT, ADELAIDE RD, DUBLIN 2",adelaide road,"€290,000.00"
20/01/2016,"11 ABBEY DR, RIVERSTON ABBEY, NAVAN RD DUBLIN 7",abbey drive,"€405,000.00"
20/01/2016,"12 Raymond Street, South Circular Road, Dublin 8",south circular road,"€465,000.00"
20/01/2016,"16 MCGOVERNS CORNER, CORK ST, DUBLIN 8",cork street,"€170,500.00"
20/01/2016,"46  Saunders House, Spencer Dock, North Wall Quay",north wall,"€422,000.00"
20/01/2016,"6 RICHVIEW PARK, DUBLIN 6, DUBLIN",richview park,"€1,000,000.00"
21/01/2016,"23 Parkside Avenue, Parkside, Malahide Road",malahide road,"€308,369.00"
21/01/2016,"24A Cabra Drive, Old Cabra Road, Dublin 7",cabra road,"€391,870.00"
22/01/2016,"109 Slievemore Road, Drimnagh, Dublin 12",slievemore road,"€165,000.00"
22/01/2016,"18 RICHVIEW PARK, DARTRY, DUBLIN 6",richview park,"€1,200,000.00"
22/01/2016,"32 COOLRUA DR, BEAUMONT, DUBLIN 9",coolrua drive,"€318,000.00"
22/01/2016,"52A METROPOLITAN APTS, INCHICORE RD, DUBLIN 8",inchicore road,"€190,000.00"
22/01/2016,"58 TEMPLE GARDENS, NORTHWOOD, SANTRY DUBLIN 9",temple gardens,"€195,000.00"
22/01/2016,"80 MOURNE RD, DUBLIN 12, DUBLIN",mourne road,"€210,000.00"
25/01/2016,"45 CLONCURRY HOUSE, SPENCER DOCK, NORTH WALL QUAY",north wall,"€725,000.00"
25/01/2016,"6 CHANCERY HALL, CHURCH ST, DUBLIN 7",church street,"€190,000.00"
26/01/2016,"16 BLACKHALL GREEN, ARBOUR HILL, DUBLIN 7",arbour hill,"€220,000.00"
26/01/2016,"2 LOFTUS COURT, PARNELL ST, DUBLIN 1",parnell street,"€233,000.00"
26/01/2016,"82 CYPRESS GROVE RD, TEMPLEOGUE, DUBLIN 6W",grove road,"€535,000.00"
27/01/2016,"16 Hill of Down, Spencer Dock, North Wall Quay",north wall,"€450,000.00"
27/01/2016,"22 ANNER ROAD, INCHICORE, DUBLIN 8",anner road,"€252,200.00"
27/01/2016,"370 NUTGROVE AVE, CHURCHTOWN, DUBLIN 14",grove avenue,"€400,000.00"
27/01/2016,"50 Cranmer Place, Haddington Road, Ballsbridge",haddington road,"€525,000.00"
28/01/2016,"164 McKee Avenue, Finglas",mckee avenue,"€250,000.00"
28/01/2016,"19 ROSECOURT, OLD CABRA ROAD, CABRA",cabra road,"€150,000.00"
28/01/2016,"3 VALE VIEW LAWN, THE PARK, CABINTEELY DUBLIN 18",the park,"€560,000.00"
29/01/2016,"105 BUNTING RD, WALKINSTOWN, DUBLIN 12",bunting road,"€242,000.00"
29/01/2016,"11 ROSSAUN, SEVEN OAKS, DUBLIN 6",seven oaks,"€208,000.00"
29/01/2016,"120 CLEARWATER COVE, DUNLEARY RD, DUN LAOGHAIRE",clearwater,"€345,000.00"
29/01/2016,"19 BLACK STREET, INFIRMARY ROAD, STONEYBATTER",infirmary road,"€217,000.00"
29/01/2016,"21 THE CRESCENT, LARCH HILL, OSCAR TRAYNOR RD DUBLIN 17",oscar traynor road,"€193,000.00"
29/01/2016,"25 THE MEADOWS, CLONSILLA, DUBLIN 15",the meadows,"€113,039.64"
29/01/2016,"26 MOUNT PROSPECT AVE, CLONTARF, DUBLIN 3",mount prospect avenue,"€895,000.00"
29/01/2016,"39 Rathdown Square, North Circular Road, Dublin 7",rathdow,"€143,500.00"
01/02/2016,"150 HARCOURT GREEN, CHARLEMONT, DUBLIN 2",charlemont,"€360,000.00"
01/02/2016,"APT 39 MANOR HALL, MOUNT BROWN, KILMANHAM DUBLIN 8",mount brown,"€150,000.00"
02/02/2016,"11 CROSBIE HOUSE, NORTHBROOK AVE, RANELAGH DUBLIN 6",northbrook avenue,"€221,000.00"
02/02/2016,"31 KILBARRACK RD, KILBARRACK, DUBLIN 5",kilbarrack road,"€575,000.00"
02/02/2016,"357 KYLEMORE RD, BALLYFERMOT, DUBLIN",kylemore road,"€142,000.00"
02/02/2016,"37 St. Thomas Road, South Circular Road",south circular road,"€539,000.00"
02/02/2016,"APARTMENT 4, 20 CHRISTCHURCH PLACE, CHRISTCHURCH",christchurch place,"€159,000.00"
03/02/2016,"12 ALBERT COLLEGE LAWN, GLASNEVIN, DUBLIN 9",albert college,"€335,000.00"
03/02/2016,"19 Parkside Avenue, Malahide Road, Balgriffin",malahide road,"€308,370.00"
03/02/2016,"538 NORTH CIRCULAR RD, DUBLIN 1, DUBLIN",north circular road,"€224,666.00"
04/02/2016,"32 ASHLEY AVENUE, MALAHIDE ROAD, SWORDS",malahide road,"€228,000.00"
04/02/2016,"4  Parkside Avenue, Parkside, Malahide Road",malahide road,"€272,248.00"
05/02/2016,"30 WILLBROOK HOUSE, NORTHBROOK AVE, DUBLIN 6",northbrook avenue,"€187,000.00"
08/02/2016,"1 INFIRMARY RD, DUBLIN 7, DUBLIN",infirmary road,"€281,000.00"
08/02/2016,"77 THE CLOISTERS, MOUNT TALLANT AVE, TERENURE",mount tallant avenue,"€440,501.00"
09/02/2016,"10 MARINERS COURT, KILBARRACK RD, KILBARARRACK DUBLIN 5",kilbarrack road,"€290,000.00"
09/02/2016,"12 KIRWAN ST COTTAGES, DUBLIN 7",kirwan street,"€120,000.00"
09/02/2016,"2 Mount Tallant Avenue, Apartment 1-10, Dublin 6w",mount tallant avenue,"€490,000.00"
09/02/2016,"48 Harcourt Green, Charlemont street, Dublin 2",charlemont,"€291,000.00"
09/02/2016,"49 DONNELLAN AVE, CEANNT FORT MOUNT BROWN, KILMAINHAM",mount brown,"€249,000.00"
10/02/2016,"108 GLASNEVIN AVE, GLASNEVIN, DUBLIN 11",glasnevin avenue,"€170,000.00"
10/02/2016,"151 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€205,000.00"
10/02/2016,"16 RATHDOWN PARK, TERENURE, DUBLIN 6W",rathdow,"€1,120,000.00"
10/02/2016,"63 ST AGNES RD, CRUMLIN, DUBLIN 12",st agnes road,"€430,000.00"
10/02/2016,"7 CLAREMONT COURT, GLENAGEARY, DUN LAOGHAIRE",claremont court,"€250,000.00"
11/02/2016,"20 Brookfield Terrace, Blackrock",brookfield,"€365,162.00"
