Date of Sale (dd/mm/yyyy),Address,Street Name,Price
23/01/2015,"118 DOWLAND RD, WALKINSTOWN, DUBLIN 12",dowland,"€320,000.00"
23/01/2015,"119 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
23/01/2015,"121 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
23/01/2015,"123 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
23/01/2015,"15 CHARLEMONT, ROAD, CLONTAFF",charlemont,"€425,000.00"
23/01/2015,"19 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"19 REHOBOTH PLACE, CIRCULAR RD SOUTH, DOLPHINS BARN DUBLIN 8",dolphins barn,"€220,000.00"
23/01/2015,"26 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€105,800.00"
23/01/2015,"31 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"31 The Parklands, Castleside, Rathfarnham",the park,"€215,000.00"
23/01/2015,"32 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"38 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€105,800.00"
23/01/2015,"39 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"40 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"42 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"43 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€105,800.00"
23/01/2015,"45 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€105,800.00"
23/01/2015,"46 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"46 ST AGNES PARK, CRUMLIN, DUBLIN 12",st agnes park,"€278,000.00"
23/01/2015,"47 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"48 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€105,800.00"
23/01/2015,"53 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€146,950.00"
23/01/2015,"61 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
23/01/2015,"80 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
